Event_code,Interest_area,Title,Description,Location,Start_time,End_time,Session_type,Tour_notes,Session_start,Active,Pre_selected
BW-001,,Global experiences with Deakin Abroad,"Study overseas and gain credit towards your degree, without extending your time at Deakin. Experience new cultures, become a global citizen and gain that competitive edge.","Bldg B, Room B1.20, LT 11",9:30 AM,10:00 AM,General information session,,Morning,T,
BW-002,,Money matters,"Learn everything you need to know about tuition fees, invoicing and HECS-HELP. Discover if you are eligible for a scholarship and how to apply.","Bldg B, Room B1.20, LT 11",10:00 AM,10:30 AM,General information session,,Morning,T,Bachelor of Laws; Bachelor of Education (Primary)
BW-003,,Understanding VTAC's SEAS,"Find out all you need to know about VTAC's Special Entry and Access Scheme (SEAS) from our specialists, including the application process, different SEAS categories and how SEAS impacts university selection.","Bldg B, Room B1.20, LT 11",10:30 AM,11:00 AM,General information session,,Morning,T,
BW-004,Architecture and construction management; Design,Architecture and construction management,"Find out what's distinctive about our courses, why staff are passionate about teaching and why you should choose to study architecture and the built environment at Deakin's Geelong Waterfront Campus.","Bldg B, Room B1.20, LT 11",11:30 AM,12:00 PM,Course information session,,Morning,T,
BW-005,Architecture and construction management,Construction management (Honours)/property and real estate,"The only course of its kind offered in Australia, your expertise in both construction and property will uniquely position you for extensive employment opportunities.","Bldg B, Room B1.20, LT 11",12:00 PM,12:30 PM,Course information session,,Afternoon,T,
BW-006,Health sciences and allied health,Social work,"Our social work program is accredited with the Australian Association of Social Workers and gives graduates the opportunity to have a rewarding career working with individuals, families, communities and organisations. It is designed around real-world experience with students completing more than 1000 hours of practical placements.","Bldg B, Room B1.20, LT 11",1:00 PM,1:30 PM,Course information session,,Afternoon,T,
BW-007,,Global experiences with Deakin Abroad,"Study overseas and gain credit towards your degree, without extending your time at Deakin. Experience new cultures, become a global citizen and gain that competitive edge.","Bldg B, Room B1.20, LT 11",1:30 PM,2:00 PM,General information session,,Afternoon,T,
BW-008,"Media, communication and creative arts; Design",Student arts exhibition,"Enjoy displays of student work from visual communication design, visual arts, photography, animation and more in our impressive gallery space.","Bldg B, Room B1.70, Phoenix Gallery",9:00 AM,3:00 PM,Experience,,All day,T,
BW-009,Nursing and midwifery,Nursing and midwifery,"Our nursing and midwifery courses are delivered by a school ranked in the top 1% in the world. Students graduate in demand, with the knowledge, skills and professionalism to work as a registered nurse and/or midwife. Our courses will prepare you to provide high-quality, patient-centred care in a range of areas including acute/sub-acute care, medical and surgical care, maternity care, aged care, rehabilitation, paediatrics, community nursing, and mental health nursing (QS World University Rankings by Subject 2018).","Bldg B, Room B1.77, LT 3",9:30 AM,10:30 AM,Course information session,,Morning,T,
BW-010,Psychology,Nursing and midwifery,"Discover how our psychology courses expose you to the biological, developmental, social and cognitive factors that affect the way humans think, feel and behave. Start on the path to becoming a registered psychologist equipped to work in a range of psychology fields such as clinical, forensic, organisational, educational, health and more. Undergraduate psychology at Deakin leads the way among Victorian universities and is ranked by our students to be well above the national benchmark for education experience, learning resources and teaching quality (Quality Indicators for Learning and Teaching (QILT) 2018).","Bldg B, Room B1.77, LT 3",10:30 AM,11:30 AM,Course information session,,Morning,T,
